File_Type,OD,,,,,,,,,,,,,,,,,,,,,,,,,
File_Version,3,,,,,,,,,,,,,,,,,,,,,,,,,
GP,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Type,24Wells_Square,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Wells_X,6,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Wells_Y,4,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,20171118_012019,,,,,,,,,,,,,,,,,,,,,,,,,
MTP,3,,,,,,,,,,,,,,,,,,,,,,,,,
Plate-ID,GF0001_Test,,,,,,,,,,,,,,,,,,,,,,,,,
Cal File Used,,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Distance_X_MM,9,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Distance_Y_MM,9,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Shape,Square,,,,,,,,,,,,,,,,,,,,,,,,,
Spot_Shape,Rectangle,,,,,,,,,,,,,,,,,,,,,,,,,
Rectangle_Spot_Size_X_MM,3,,,,,,,,,,,,,,,,,,,,,,,,,
Rectangle_Spot_Size_Y_MM,3,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Center_X_MM,0,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Center_Y_MM,0,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Perfect_Parallelness_DEG,0,,,,,,,,,,,,,,,,,,,,,,,,,
Geometric_Correction_MM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Ignore_Top_G_Pixel_Percent,25,,,,,,,,,,,,,,,,,,,,,,,,,
Ignore_Bottom_G_Pixel_Percent,10,,,,,,,,,,,,,,,,,,,,,,,,,
OD_Profile,CR1496DG_4ms_BakersYeast,,,,,,,,,,,,,,,,,,,,,,,,,
a,0.0283,,,,,,,,,,,,,,,,,,,,,,,,,
b,1,,,,,,,,,,,,,,,,,,,,,,,,,
c,2.25E-05,,,,,,,,,,,,,,,,,,,,,,,,,
d,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
e,1.398E-19,,,,,,,,,,,,,,,,,,,,,,,,,
f,9.47,,,,,,,,,,,,,,,,,,,,,,,,,
GBlank,6.62,,,,,,,,,,,,,,,,,,,,,,,,,
ShutterTime,4,,,,,,,,,,,,,,,,,,,,,,,,,
Capture Shutter Time,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (min),A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,,Input_Image
0,0.649,0.65,0.673,0.666,0.656,0.655,0.606,0.638,0.633,0.645,0.667,0.66,0.647,0.441,0.607,0.617,0.59,0.606,0.606,0.588,0.54,0.583,0.571,0.622,,mtp03_20171118_012019.bmp
